Pompieri Pizza
Toro's Pizza
Dos Perros
Monuts
Only Burger
Elmo's Diner
Toast
NanaTaco
Cosmic Cantina
Nosh
Chamas
FourSquare
The Pit
La Vaquita
Foster's Market
SaltBox
Juju's
Dame's Chicken and Waffles
Bull McCabes
Rue Cler
Vin Rouge
Thai Cafe
Sitar
Guglhupf
Rose's Meat Market and Sweet Shop
Mateo
Metro 8 Steakhouse
Rise
Randy's Pizza
India Gate
Piedmont Eatery
Bull City Burgers
Geer Street Garden
Kokyo Na'Mean
Vit Goal
La Cacerola
The Parlour
Fish Mongers
Revolution
Saladalia Cafe
Satisfaction
Lilly's Pizza
Alavia's
Joe's Diner
Jimmy's Hot Dogs
Gocciolina
Beyu Cafe
Daisy Cakes
Watt's Grocery
Twisted Noodle
Dashi
Mez
Basah
Namu
Dain's Place
James Joyce
Itaewon Grill
Taqueria La Vaquita
Chubby's Tacos
Happy China
C&T Wok
Gourmet Kingdom
Mediterranean Grill and Grocery
Kings
Shiki Sushi
Mattie B's
Scratch
M Kokko
201 Restaurant
Littler
Luna Rotisserie & Empanadas
Pie Pushers
Alley Twenty Six
True Flavors
Parts and Labor
Bar Virgil
Sister Liu's Kitchen
Lime & Lemon Indian Grill
Mothers and Sons
Alpaca Peruvian Charcoal Chicken
American Meltdown
Backyard BBQ Pit
The Blue Note Grill
Bulldock's Bar BBQ
Jamaica Jamaica
Juju
Loaf
Locopops
Mad Hatter Bakeshop and Cafe
Parizade
Super Taqueria
The Refactory
Yamazushi Japanese Restaurant
Gocciolina
Lucky's Delacatessen
M Sushi
Nana Steak
Goorsha
It's a Southern Thing
The Fed
Gonza
Little Dipper
Charlie's
Eastcut Sandwich Bar
Indian Fare
Tabernas Tapas
Treforni
Town Hall Burger & Beer
Harvest 18
The Boot
Grub
Zenfish
Banh
Big Bundts
Guasaca
Burger Bach
Nasher Cafe
Outta This World Burrito
Heavenly Buffaloes
Local22
Wimpy's Grill
Counting House
The BullPen
Sugarfish
Rickhouse
Melina's Fresh Pasta Shop
Zweli's
Big C Waffles
Sofia's Pizza
M Tempura
Pokeworks
Neomonde
Sushioki
Copa
Jack Tar and The Colonel's Daughter
Guanajuato
Rockin' Roll's Sushi Express
Piper's in the Park
East Durham Bake Shop
Early Bird Donuts
The Palace International 
La Monarca Michoacana Ice Cream
The Ferrington House Restaurant 
Oakleaf
Allen and Son
The Mod
The Bagel Bar
La Superior
Ninth Street Bakery 
Honey Suckle Tea House
B. Good
Pierro ToGo
Snow Factory
Sweet Charlie's
Duck Donuts
DeeLuxe Chicken 
Cuccolico Osteria
Thai on Main Street
Tamale Factory and Tequila Bar
Naan Stop
Uncle Julio's
The Northern Spy
Don's Chicken
Buns Barn
Cava
Budacai
Walking Crab
Page Road Grill
No. 1 Pho
Falafel 54
Thai 55
East Coast Asian Bistro
Akashi
Parker and Otis
